id,name,rating,address,city,lat,long
70,wondertea-san-francisco-4,4.5,2250 Irving St,San Francisco,37.7635,-122.4824
71,the-boba-shop-san-francisco-4,4.5,2071 3rd St,San Francisco,37.7636,-122.3886
72,steep-creamery-and-tea-san-francisco,4,270 Brannan St,San Francisco,37.7825,-122.3912
73,bubblecup-san-francisco-2,3.5,1900 Clement St,San Francisco,37.7823,-122.4797
74,sweet-a-little-san-francisco-12,4.5,355 8th St,San Francisco,37.7745,-122.4092
75,tea-hut-san-francisco-2,4.5,2815 California St,San Francisco,37.7879,-122.4408
76,i-tea-san-francisco-2,3.5,2150 Irving St,San Francisco,37.7635,-122.4811
77,tancca-san-francisco-3,4.5,5015 Geary Blvd,San Francisco,37.7804,-122.4733
78,sharetea-san-francisco-3,3.5,135 4th St,San Francisco,37.7845,-122.4034
79,mi-tea-san-francisco,3.5,645 Irving St,San Francisco,37.7640,-122.4650
80,bb-tea-station-san-francisco-3,3.5,1314 Noriega St,San Francisco,37.7543,-122.4779
81,tea-fm-san-francisco-3,3.5,1353 Taraval St,San Francisco,37.7426,-122.4809
82,keep-it-san-francisco-6,4.5,1170 Powell St,San Francisco,37.7956,-122.4098
83,mr-and-mrs-tea-house-san-francisco,3.5,544 Clement,San Francisco,37.7830,-122.4652
84,e-tea-san-francisco,3.5,5344 Geary Blvd,San Francisco,37.7805,-122.4770
85,gosu-san-francisco,3.5,1014 Clement St,San Francisco,37.7829,-122.4702
86,homeplate-boba-san-francisco,4,131-155 King St,San Francisco,37.7787,-122.3902
87,cuppa-san-francisco,3.5,2810 Diamond St,San Francisco,37.7343,-122.4342
88,super-cue-cafe-san-francisco-2,5,1330 Ocean Ave,San Francisco,37.7243,-122.4570
89,puppy-bobar-san-francisco,5,1142 Grant Ave,San Francisco,37.7975,-122.4068
90,cool-tea-bar-san-francisco-4,3.5,103 Waverly Pl,San Francisco,37.7943,-122.4069
91,little-heaven-deli-san-francisco,4.5,2348 Mission St,San Francisco,37.7595,-122.4194
92,5-sweets-san-francisco,4.5,1125 Ocean Ave 102,San Francisco,37.7233,-122.4546
93,good-earth-cafe-san-francisco-2,4.5,835 Kearny St,San Francisco,37.7958,-122.4054
94,sweethut-san-francisco,3.5,519 Clement St,San Francisco,37.7829,-122.4647
95,frostea-daly-city-2,3.5,6178 Mission St,Daly City,37.7069,-122.4588
96,teaone-san-francisco-5,3.5,5336 Geary Blvd,San Francisco,37.7808,-122.4768
97,fifty-fifty-coffee-and-tea-san-francisco,4,3157 Geary Blvd,San Francisco,37.7814,-122.4529
98,honey-creme-and-tea-san-francisco,3.5,839 Irving St,San Francisco,37.7638,-122.4671
99,bambu-san-francisco-3,4,6050 Geary Blvd,San Francisco,37.7804,-122.4846
100,i-tea-oakland,4,388 9th St,Oakland,37.8006,-122.2707
101,mr-green-bubble-oakland,3.5,4299 Piedmont Ave,Oakland,37.8290,-122.2493
102,t-and-bowl-oakland,4,901 Franklin St,Oakland,37.8005,-122.2722
103,u-cha-berkeley,4,2199 Bancroft Way,Berkeley,37.8679,-122.2661
104,the-sweet-booth-oakland,4,388 9th St,Oakland,37.8004,-122.2718
105,asha-tea-house-berkeley,4,2086 University Ave,Berkeley,37.8720,-122.2689
106,i-tea-alameda,4,1626 Park St,Alameda,37.7674,-122.2400
107,t4-oakland,3,1068 Webster St,Oakland,37.8010,-122.2701
108,wing-man-oakland-3,4,5295 College Ave,Oakland,37.8382,-122.2517
109,sharetea-berkeley,4,2440 Bancroft Way,Berkeley,37.8684,-122.2605
110,happy-lemon-berkeley-berkeley,4,2106 Shattuck Ave,Berkeley,37.8709,-122.2686
111,milk-tea-lab-pleasant-hill,4,1972 Contra Costa Blvd,Pleasant Hill,37.9486,-122.0582
112,boba-ninja-berkeley,4,2519B Durant Ave,Berkeley,37.8682,-122.2580
113,sharetea-alameda-4,3.5,2670 5th St,Alameda,37.7867,-122.2813
114,purple-kow-berkeley-2,3.5,2164 Center St,Berkeley,37.8704,-122.2663
115,teaway-alameda,3.5,2402 Central Ave,Alameda,37.7639,-122.2427
116,i-tea-walnut-creek-3,4,1245 N Broadway,Walnut Creek,37.8981,-122.0593
117,sweetheart-cafe-oakland,3.5,315 9th St,Oakland,37.7994,-122.2701
118,gelato-firenze-and-qtea-bar-oakland,4,478 Lake Park Ave,Oakland,37.8111,-122.2472
119,tea-delight-alameda-2,4,650 Central Ave,Alameda,37.7708,-122.2775
120,quickly-oakland-4,4.5,1243 33rd Ave,Oakland,37.7765,-122.2251
121,i-tea-san-leandro-2,4,177 Pelton Ctr Way,San Leandro,37.7227,-122.1544
122,50-tea-oakland,3.5,1004 Webster St,Oakland,37.8007,-122.2702
123,tea-press-berkeley-2,4,2552 Bancroft Way,Berkeley,37.8686,-122.2578
124,taiwan-bento-oakland-4,4,412 22nd St,Oakland,37.8110,-122.2665
125,u-tea-cafe-oakland,3,1728 A Franklin St,Oakland,37.8064,-122.2683
126,t4-alameda-2,3.5,1431 A Park St,Alameda,37.7651,-122.2423
127,teazzert-alameda,3.5,1342 Park St,Alameda,37.7635,-122.2432
128,qteabar-oakland,5,478 Lake Park Ave,Oakland,37.8111,-122.2472
129,the-burrow-brisbane-4,4.5,109 Visitacion,Brisbane,37.6835,-122.4029
130,sweet-belly-oakland,4.5,435 19th St,Oakland,37.8076,-122.2689
131,sancha-bar-oakland-3,2.5,251 9th St,Oakland,37.7990,-122.2688
132,alice-street-bakery-café-oakland-2,4.5,251 10th St,Oakland,37.7996,-122.2684
133,t4-san-leandro,5,1443 E 14th St,San Leandro,37.7238,-122.1547
134,quickly-oakland-5,3.5,3306 Lakeshore Ave,Oakland,37.8106,-122.2439
135,bubble-tea-share-time-berkeley,4,1938 Shattuck Ave,Berkeley,37.8732,-122.2686
136,shooting-star-cafe-oakland,3.5,1022 Webster St,Oakland,37.8010,-122.2701
137,pekoe-san-jose,4,3276 S White Rd,San Jose,37.3146,-121.7902
138,tea-lyfe-drinks-san-jose-3,4,989 Story Rd,San Jose,37.3323,-121.8577
139,teahee-san-jose,4,979 Story Rd,San Jose,37.3311,-121.8574
140,boba-pub-san-jose,4,1576 Branham Ln,San Jose,37.2534,-121.9015
141,teaspoon-san-jose-2,4,4328 Moorpark Ave,San Jose,37.3158,-121.9783
142,passion-t-snacks-and-desserts-san-jose,4,2266 Senter Rd,San Jose,37.3105,-121.8500
143,pop-up-tea-coffee-and-snacks-san-jose,4,185 Branham Ln,San Jose,37.2670,-121.8341
144,happy-lemon-san-jose-5,4.5,3005 Silver Creek Rd,San Jose,37.3086,-121.8135
145,boba-bar-san-jose-3,3.5,310 S 3rd St,San Jose,37.3324,-121.8845
146,sinceretea-san-jose-2,4,392 E Taylor St,San Jose,37.3529,-121.8918
147,bobateani-san-jose,5,75 E Santa Clara St,San Jose,37.3371,-121.8894
148,soyful-desserts-san-jose-2,4,999 Story Rd,San Jose,37.3320,-121.8568
149,one-tea-san-jose-4,4,231 E Santa Clara St,San Jose,37.3386,-121.8857
150,i-tea-san-jose,4,2936 Aborn Square Rd,San Jose,37.3123,-121.8098
151,the-tea-zone-and-fruit-bar-san-jose,3.5,980 S Winchester Blvd,San Jose,37.3095,-121.9496
152,createave-cafe-san-jose-4,4,1698 Hostetter Rd,San Jose,37.3870,-121.8836
153,tleaf-teapresso-san-jose-3,4,860 Blossom Hill Rd,San Jose,37.2487,-121.8580
154,katea-san-jose,4.5,5700 Village Oaks Dr,San Jose,37.2525,-121.8501
155,teatop-san-jose-2,4,6158 Bollinger Rd,San Jose,37.3087,-122.0126
156,bubbly-san-jose-4,4,1816 Tully Rd,San Jose,37.3223,-121.8241
157,vampire-penguin-featuring-jastea-san-jose,4,2671 Cropley Ave,San Jose,37.4042,-121.8819
158,simply-boba-san-jose,4,3005 Silver Creek Rd,San Jose,37.3089,-121.8132
159,happy-lemon-cupertino,4.5,20488 Stevens Creek Blvd,Cupertino,37.3226,-122.0312
160,amor-cafe-and-tea-san-jose,5,110 E San Fernando St,San Jose,37.3355,-121.8866
161,shincha-tea-san-jose-3,4,2487 Alvin Ave,San Jose,37.3192,-121.8270
162,sharetea-santa-clara-3,4,1171 Homestead Rd,Santa Clara,37.3487,-121.9462
163,chatime-san-jose-san-jose-3,4,311 N Capitol Ave,San Jose,37.3697,-121.8454
164,pure-tea-bar-san-jose,3.5,6195 Santa Teresa Blvd,San Jose,37.2364,-121.8048
